year,type_of_buyer,volume
2010,Household Buyer - First-Time Buyer Owner-Occupier,40250.0
2010,Household Buyer - Former Owner-Occupier,24350.0
2010,Household Buyer - Non-Occupier,9870.0
2010,Non-Household Buyer,2886.0
2011,Household Buyer - First-Time Buyer Owner-Occupier,23208.0
2011,Household Buyer - Former Owner-Occupier,28462.0
2011,Household Buyer - Non-Occupier,12004.0
2011,Non-Household Buyer,3208.0
2012,Household Buyer - First-Time Buyer Owner-Occupier,27916.0
2012,Household Buyer - Former Owner-Occupier,39544.0
2012,Household Buyer - Non-Occupier,15408.0
2012,Non-Household Buyer,5662.0
2013,Household Buyer - First-Time Buyer Owner-Occupier,29716.0
2013,Household Buyer - Former Owner-Occupier,48970.0
2013,Household Buyer - Non-Occupier,19606.0
2013,Non-Household Buyer,7444.0
2014,Household Buyer - First-Time Buyer Owner-Occupier,37736.0
2014,Household Buyer - Former Owner-Occupier,68530.0
2014,Household Buyer - Non-Occupier,33082.0
2014,Non-Household Buyer,20256.0
2015,Household Buyer - First-Time Buyer Owner-Occupier,40582.0
2015,Household Buyer - Former Owner-Occupier,81730.0
2015,Household Buyer - Non-Occupier,37334.0
2015,Non-Household Buyer,25910.0
2016,Household Buyer - First-Time Buyer Owner-Occupier,41964.0
2016,Household Buyer - Former Owner-Occupier,82266.0
2016,Household Buyer - Non-Occupier,35618.0
2016,Non-Household Buyer,26300.0
2017,Household Buyer - First-Time Buyer Owner-Occupier,49106.0
2017,Household Buyer - Former Owner-Occupier,89358.0
2017,Household Buyer - Non-Occupier,34612.0
2017,Non-Household Buyer,33562.0
2018,Household Buyer - First-Time Buyer Owner-Occupier,53972.0
2018,Household Buyer - Former Owner-Occupier,92280.0
2018,Household Buyer - Non-Occupier,31540.0
2018,Non-Household Buyer,37532.0
2019,Household Buyer - First-Time Buyer Owner-Occupier,57926.0
2019,Household Buyer - Former Owner-Occupier,95280.0
2019,Household Buyer - Non-Occupier,27892.0
2019,Non-Household Buyer,50974.0
2020,Household Buyer - First-Time Buyer Owner-Occupier,50490.0
2020,Household Buyer - Former Owner-Occupier,80548.0
2020,Household Buyer - Non-Occupier,20794.0
2020,Non-Household Buyer,45306.0
2021,Household Buyer - First-Time Buyer Owner-Occupier,59030.0
2021,Household Buyer - Former Owner-Occupier,99922.0
2021,Household Buyer - Non-Occupier,26604.0
2021,Non-Household Buyer,46894.0
2022,Household Buyer - First-Time Buyer Owner-Occupier,66430.0
2022,Household Buyer - Former Owner-Occupier,107420.0
2022,Household Buyer - Non-Occupier,26144.0
2022,Non-Household Buyer,53396.0
2023,Household Buyer - First-Time Buyer Owner-Occupier,69966.0
2023,Household Buyer - Former Owner-Occupier,106928.0
2023,Household Buyer - Non-Occupier,24052.0
2023,Non-Household Buyer,49776.0
2024,Household Buyer - First-Time Buyer Owner-Occupier,70654.0
2024,Household Buyer - Former Owner-Occupier,103040.0
2024,Household Buyer - Non-Occupier,21574.0
2024,Non-Household Buyer,50264.0
2025,Household Buyer - First-Time Buyer Owner-Occupier,78738.0
2025,Household Buyer - Former Owner-Occupier,103198.0
2025,Household Buyer - Non-Occupier,20244.0
2025,Non-Household Buyer,51354.0
