statistic,statistic_label,tlist(a1),year,c02339v02812,county,c03346v04033,dwelling_status,c03341v04028,stamp_duty_event,c03344v04031,type_of_buyer,c03342v04029,type_of_sale,unit,value
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,01,New,1,Filings,-,All Buyer Types,01,Market,Number,6428.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,6001.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,01,New,2,Executions,-,All Buyer Types,01,Market,Number,5146.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,4820.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,13648.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,13301.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,13456.0
HPA02C01,Volume Of Sales,2010,2010,-,All Counties,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,13113.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,01,New,1,Filings,-,All Buyer Types,01,Market,Number,72.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,69.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,01,New,2,Executions,-,All Buyer Types,01,Market,Number,87.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,84.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,103.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,95.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,105.0
HPA02C01,Volume Of Sales,2010,2010,01,Carlow,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,96.0
HPA02C01,Volume Of Sales,2010,2010,02,Dublin,01,New,1,Filings,-,All Buyer Types,01,Market,Number,1701.0
